business_model,target,mae,rmse,r2
new_user,WineShare,0.13895319688638907,0.16648592152009803,0.4525738857164451
new_user,FruitShare,0.03510368465711957,0.04634832909458267,0.22823466306677465
new_user,MeatShare,0.08901424385723099,0.11029394663840947,0.19513543656552068
new_user,FishShare,0.049264986372587895,0.06616032275525167,0.24830007042650704
new_user,SweetShare,0.03712740085944472,0.05059589973558364,0.21642464533326122
new_user,GoldShare,0.0657247592293714,0.08335184586657107,0.34089774680896134
early_behavior,WineShare,0.13342506790549602,0.16152239431719273,0.48472868056635976
early_behavior,FruitShare,0.034602991225675075,0.045941465245398376,0.24172490960039417
early_behavior,MeatShare,0.08823992005451267,0.10946980236911856,0.20711880053709986
early_behavior,FishShare,0.048529446712137846,0.06583019291775113,0.2557830883055989
early_behavior,SweetShare,0.036691450463148374,0.05049769537380531,0.2194634622835756
early_behavior,GoldShare,0.06523249067927332,0.08284010881536852,0.348965994280669
existing_customer,WineShare,0.13620280292881956,0.16430919889886353,0.46679496860111747
existing_customer,FruitShare,0.034964824618587555,0.04619352541381369,0.2333814546947891
existing_customer,MeatShare,0.08858302702411358,0.109918546629726,0.2006050380462142
existing_customer,FishShare,0.04865009431807935,0.06581328910451431,0.25616523783219247
existing_customer,SweetShare,0.03780038018382904,0.05113546979486367,0.1996229596783965
existing_customer,GoldShare,0.06518534490620917,0.08234696051047467,0.3566941514402171
